geoid,var,value
01001,confidence,100
01001,koppen_14,1
01003,confidence,99.76870677302806
01003,koppen_14,1
01005,confidence,100
01005,koppen_14,1
01007,confidence,100
01007,koppen_14,1
01009,confidence,100
01009,koppen_14,1
01011,confidence,100
01011,koppen_14,1
01013,confidence,100
01013,koppen_14,1
01015,confidence,100
01015,koppen_14,1
01017,confidence,100
01017,koppen_14,1
01019,confidence,100
01019,koppen_14,1
01021,confidence,100
01021,koppen_14,1
01023,confidence,100
01023,koppen_14,1
01025,confidence,100
01025,koppen_14,1
01027,confidence,100
01027,koppen_14,1
01029,confidence,100
01029,koppen_14,1
01031,confidence,100
01031,koppen_14,1
01033,confidence,100
01033,koppen_14,1
01035,confidence,100
01035,koppen_14,1
01037,confidence,100
01037,koppen_14,1
01039,confidence,100
01039,koppen_14,1
01041,confidence,100
01041,koppen_14,1
01043,confidence,100
01043,koppen_14,1
01045,confidence,100
01045,koppen_14,1
01047,confidence,100
01047,koppen_14,1
01049,confidence,100
01049,koppen_14,1
01051,confidence,100
01051,koppen_14,1
01053,confidence,100
01053,koppen_14,1
01055,confidence,100
01055,koppen_14,1
01057,confidence,100
01057,koppen_14,1
01059,confidence,100
01059,koppen_14,1
01061,confidence,100
01061,koppen_14,1
01063,confidence,100
01063,koppen_14,1
01065,confidence,100
01065,koppen_14,1
01067,confidence,100
01067,koppen_14,1
01069,confidence,100
01069,koppen_14,1
01071,confidence,100
01071,koppen_14,1
01073,confidence,100
01073,koppen_14,1
01075,confidence,100
01075,koppen_14,1
01077,confidence,100
01077,koppen_14,1
01079,confidence,100
01079,koppen_14,1
01081,confidence,100
01081,koppen_14,1
01083,confidence,100
01083,koppen_14,1
01085,confidence,100
01085,koppen_14,1
01087,confidence,100
01087,koppen_14,1
01089,confidence,100
01089,koppen_14,1
01091,confidence,100
01091,koppen_14,1
01093,confidence,100
01093,koppen_14,1
01095,confidence,100
01095,koppen_14,1
01097,confidence,99.87648615879843
01097,koppen_14,1
01099,confidence,100
01099,koppen_14,1
01101,confidence,100
01101,koppen_14,1
01103,confidence,100
01103,koppen_14,1
01105,confidence,100
01105,koppen_14,1
01107,confidence,100
01107,koppen_14,1
